family,matrix,P,nnz_min,nnz_avg,nnz_max,nnz_stdev,max_over_avg,max_over_min
2d_checkerboard,ASIC_680k.mtx,4,739442,967943.25,1508903,362245.51043123135,1.558875481594608,2.0405968284192677
2d_checkerboard,amazon0302.mtx,1,1234877,1234877,1234877,0.0,1.0,1.0
2d_checkerboard,amazon0302.mtx,2,614528,617438.5,620349,4116.068573286893,1.0047138297984333,1.009472310456155
2d_checkerboard,amazon0302.mtx,4,289092,308719.25,328077,20895.87830769504,1.0627034109470013,1.1348532647046614
2d_checkerboard,cage13.mtx,1,7479343,7479343,7479343,0.0,1.0,1.0
2d_checkerboard,cage13.mtx,2,3739503,3739671.5,3739840,238.2949852598665,1.0000450574335205,1.0000901189275688
2d_checkerboard,cage13.mtx,4,895345,1869835.75,2844495,1125245.0020812876,1.5212539390157664,3.1769820571958296
2d_checkerboard,cit-Patents.mtx,1,16518948,16518948,16518948,0.0,1.0,1.0
2d_checkerboard,cit-Patents.mtx,2,8256456,8259474,8262492,4268.096531242001,1.000365398571386,1.0007310642726128
2d_checkerboard,cit-Patents.mtx,4,4126232,4129737,4131485,2393.7834767023796,1.0004232715061516,1.0012730743205909
2d_checkerboard,crankseg_2.mtx,1,14148858,14148858,14148858,0.0,1.0,1.0
2d_checkerboard,crankseg_2.mtx,2,7072781,7074429,7076077,2330.623950790861,1.000232951662954,1.0004660118841513
2d_checkerboard,crankseg_2.mtx,4,3536284,3537214.5,3539793,1721.9300218069259,1.0007289634258822,1.0009922845563308
2d_checkerboard,parabolic_fem.mtx,1,3674625,3674625,3674625,0.0,1.0,1.0
2d_checkerboard,parabolic_fem.mtx,2,1837311,1837312.5,1837314,2.1213203435596424,1.0000008164098377,1.0000016328210086
2d_checkerboard,parabolic_fem.mtx,4,830387,918656.25,1006927,101924.55050469114,1.096086811579413,1.212599667384003
2d_checkerboard,poisson3Da.mtx,1,352762,352762,352762,0.0,1.0,1.0
2d_checkerboard,poisson3Da.mtx,2,176364,176381,176398,24.041630560342615,1.0000963822633957,1.0001927831076638
2d_checkerboard,poisson3Da.mtx,4,85257,88190.5,91141,3387.342468661827,1.033455984488125,1.069014860949834
2d_checkerboard,roadNet-CA.mtx,1,5533214,5533214,5533214,0.0,1.0,1.0
2d_checkerboard,roadNet-CA.mtx,2,2766517,2766607,2766697,127.27922061357856,1.0000325308220503,1.000065063760678
2d_checkerboard,roadNet-CA.mtx,4,1071148,1383303.5,1695369,360342.2083524678,1.2255943833005556,1.5827588717898926
2d_checkerboard,thermal2.mtx,1,8580313,8580313,8580313,0.0,1.0,1.0
2d_checkerboard,thermal2.mtx,2,4290060,4290156.5,4290253,136.47160876900367,1.0000224933519326,1.0000449877157895
2d_checkerboard,thermal2.mtx,4,1926145,2145078.25,2364108,252802.35392281588,1.102108046641189,1.2273780011369861
2d_checkerboard,weak_P1.mtx,1,1500000,1500000,1500000,0.0,1.0,1.0
2d_checkerboard,weak_P2.mtx,2,1499711,1500000,1500289,408.7077195258245,1.0001926666666667,1.0003854075885288
2d_checkerboard,weak_P4.mtx,4,1499745,1500000,1500255,239.91804156141876,1.00017,1.0003400578098276
2d_checkerboard,weak_sparse_P1.mtx,1,1500000,1500000,1500000,0.0,1.0,1.0
2d_checkerboard,weak_sparse_P2.mtx,2,1498254,1500000,1501746,2469.216879903424,1.001164,1.0023307129498737
2d_checkerboard,weak_sparse_P4.mtx,4,1499241,1500000,1500759,660.5457339705304,1.000506,1.0010125123312397
2d_checkerboard,webbase-1M.mtx,1,3105536,3105536,3105536,0.0,1.0,1.0
2d_checkerboard,webbase-1M.mtx,2,1527317,1552768,1578219,35993.14937595764,1.0163907293298162,1.0333277243689425
2d_checkerboard,webbase-1M.mtx,4,514175,776384,1026697,281677.9646203563,1.322408756491633,1.9967851412456847
