prototype,matrix,P,T_cyclic_acc_ms,T_cyclic_cusparse_ms,T_prototype_acc_ms,T_prototype_cusparse_ms
block,amazon0302.mtx,2,0.201207,0.226916,0.127759,0.141905
block,amazon0302.mtx,3,0.191433,0.199456,0.13411,0.13036
block,amazon0302.mtx,4,0.228814,0.237313,0.158682,0.166618
block,cage13.mtx,1,0.117154,0.117838,0.11774,0.11866
block,cage13.mtx,2,0.349454,0.349887,0.19708,0.196327
block,cage13.mtx,3,0.349965,0.350685,0.246015,0.243895
block,cage13.mtx,4,0.490988,0.426067,0.234561,0.240714
block,cit-Patents.mtx,1,4.679731,0.764041,5.080033,0.764095
block,cit-Patents.mtx,2,3.112074,0.941107,5.151418,1.175612
block,cit-Patents.mtx,3,2.732673,1.315816,2.075445,1.549656
block,cit-Patents.mtx,4,5.2833865,3.8748355,2.545458,1.105838
block,crankseg_2.mtx,1,0.196701,0.1638,0.196578,0.163542
block,crankseg_2.mtx,2,0.195916,0.175925,0.204983,0.184874
block,crankseg_2.mtx,3,0.176811,0.163834,0.172603,0.156479
block,crankseg_2.mtx,4,0.174985,0.166043,0.180221,0.17073
block,parabolic_fem.mtx,1,0.080267,0.079868,0.080447,0.079986
block,parabolic_fem.mtx,2,0.369046,0.372383,0.369903,0.374099
block,parabolic_fem.mtx,3,0.373068,0.380372,0.358291,0.357833
block,parabolic_fem.mtx,4,0.54224,0.587199,0.815909,0.899509
block,poisson3Da.mtx,1,0.026762,0.025732,0.026649,0.025807
block,poisson3Da.mtx,2,0.091595,0.075775,0.079838,0.078235
block,poisson3Da.mtx,3,0.089637,0.084102,0.081352,0.077673
block,poisson3Da.mtx,4,0.084111,0.079012,0.083705,0.079748
block,roadNet-CA.mtx,1,0.151048,0.143732,0.150846,0.143477
block,roadNet-CA.mtx,2,1.089581,1.092749,0.14445,0.137152
block,roadNet-CA.mtx,3,0.964256,0.971832,0.117746,0.117121
block,roadNet-CA.mtx,4,1.226173,1.051721,0.115921,0.116793
block,thermal2.mtx,1,0.185556,0.163511,0.185638,0.163748
block,thermal2.mtx,2,0.837613,0.834512,0.276648,0.259819
block,thermal2.mtx,3,0.764029,0.753342,0.195725,0.193169
block,thermal2.mtx,4,1.439,1.339,0.234336,0.229001
block,webbase-1M.mtx,1,0.070442,0.07588,0.070569,0.075763
block,webbase-1M.mtx,2,0.135506,0.141456,0.110228,0.110548
block,webbase-1M.mtx,3,0.138457,0.151337,0.101474,0.109332
block,webbase-1M.mtx,4,0.445585,0.174297,0.113103,0.115153
